Centro,Tipologia,Id encuesta,Total Encuestas,Total Completas,Total Parciales,Nuevas Completas Hoy,Nuevas Parciales Hoy,Nuevas Completas D-1,Nuevas Parciales D-1,Nuevas Completas D-2,Nuevas Parciales D-2
COLEGIO NUESTRA SEÑORA DE LA PROVIDENCIA ,Profesorado,169538,9,8,1,0,0,0,0,0,0
CPES OTEITZA LIZEOA,Primaria,545196,0,0,0,0,0,0,0,0,0
CPES OTEITZA LIZEOA,Secundaria,996175,75,42,33,0,0,0,0,0,0
CPES OTEITZA LIZEOA,Profesorado,596225,1,1,0,0,0,0,0,0,0
CEIP VALEDEMEMBRA,Primaria,499995,63,34,29,0,0,0,0,0,0
CEIP VALEDEMEMBRA,Secundaria,214173,0,0,0,0,0,0,0,0,0
CEIP VALEDEMEMBRA,Profesorado,834435,5,3,2,0,0,0,0,0,0
IES MAR AZUL,Primaria,485128,0,0,0,0,0,0,0,0,0
IES MAR AZUL,Secundaria,121525,191,112,79,0,0,0,1,0,1
IES MAR AZUL,Profesorado,122528,7,4,3,0,0,0,0,0,0
CEIP VIRGEN DE CRIPTANA,Primaria,797132,40,36,4,0,0,0,0,0,0
CEIP VIRGEN DE CRIPTANA,Secundaria,969597,0,0,0,0,0,0,0,0,0
CEIP VIRGEN DE CRIPTANA,Profesorado,535274,9,6,3,0,0,0,0,0,0
CEIP LOPE DE VEGA,Primaria,479792,158,124,34,0,0,0,1,0,0
CEIP LOPE DE VEGA,Secundaria,695956,0,0,0,0,0,0,0,0,0
CEIP LOPE DE VEGA,Profesorado,344548,5,4,1,0,0,0,0,0,0
IES SIETE COLINAS ,Primaria,592522,0,0,0,0,0,0,0,0,0
IES SIETE COLINAS ,Secundaria,417864,5,0,5,0,0,0,0,0,0
IES SIETE COLINAS ,Profesorado,825947,0,0,0,0,0,0,0,0,0
IES ABYLA,Primaria,811243,0,0,0,0,0,0,0,0,0
IES ABYLA,Secundaria,168262,292,211,81,0,0,0,0,0,0
IES ABYLA,Profesorado,267866,20,12,8,0,0,0,0,0,0
COLEGIO INTERNACIONAL KOLBE,Primaria,514679,112,70,42,0,0,0,0,0,0
COLEGIO INTERNACIONAL KOLBE,Secundaria,191569,315,266,49,0,0,0,0,0,0
COLEGIO INTERNACIONAL KOLBE,Profesorado,529616,28,15,13,0,0,0,0,0,0
CEIP CLARA CAMPOAMOR,Primaria,826267,90,89,1,0,0,0,0,0,0
CEIP CLARA CAMPOAMOR,Secundaria,836197,0,0,0,0,0,0,0,0,0
CEIP CLARA CAMPOAMOR,Profesorado,675474,1,1,0,0,0,0,0,0,0
CPEIP Larraga S. Miguel HLHIP,Primaria,262467,48,35,13,0,0,0,0,0,0
CPEIP Larraga S. Miguel HLHIP,Secundaria,295816,0,0,0,0,0,0,0,0,0
CPEIP Larraga S. Miguel HLHIP,Profesorado,478942,7,4,3,0,0,0,0,0,0
CPEIP AZPILAGAÑA ,Primaria,495512,58,45,13,0,0,0,0,0,0
CPEIP AZPILAGAÑA ,Secundaria,228293,0,0,0,0,0,0,0,0,0
CPEIP AZPILAGAÑA ,Profesorado,152872,21,14,7,0,0,0,0,0,0
CEIP PRÍNCIPE DE ASTURIAS,Primaria,312545,49,47,2,0,0,0,0,0,0
CEIP PRÍNCIPE DE ASTURIAS,Secundaria,679315,0,0,0,0,0,0,0,0,0
CEIP PRÍNCIPE DE ASTURIAS,Profesorado,912212,11,8,3,0,0,0,0,0,0
CPEIPS SANTA MARÍA IKASTETXEA,Primaria,473599,185,158,27,0,0,0,0,0,0
CPEIPS SANTA MARÍA IKASTETXEA,Secundaria,583423,112,82,30,0,0,0,0,0,0
CPEIPS SANTA MARÍA IKASTETXEA,Profesorado,323896,6,6,0,0,0,0,0,0,0
IES Botikazar BHI,Primaria,322275,0,0,0,0,0,0,0,0,0
IES Botikazar BHI,Secundaria,781826,396,303,93,0,0,0,0,0,0
IES Botikazar BHI,Profesorado,487662,25,4,21,0,0,0,0,0,0
CRA ALCIARES,Primaria,521585,50,28,22,0,0,0,0,0,0
CRA ALCIARES,Secundaria,567754,0,0,0,0,0,0,0,0,0
CRA ALCIARES,Profesorado,855543,14,12,2,0,0,0,0,0,0
IES IZPISÚA BELMONTE ,Primaria,112446,1,0,1,0,0,0,0,0,0
IES IZPISÚA BELMONTE ,Secundaria,451812,431,323,108,0,0,0,0,0,0
IES IZPISÚA BELMONTE ,Profesorado,183326,53,37,16,0,0,0,0,0,0
COLEGIO SAN AGUSTÍN,Primaria,225924,235,124,111,0,0,0,0,0,0
COLEGIO SAN AGUSTÍN,Secundaria,118179,775,321,454,0,0,0,0,0,0
COLEGIO SAN AGUSTÍN,Profesorado,133473,39,27,12,0,0,0,0,0,0
CEIP REINA SOFÍA,Primaria,534639,0,0,0,0,0,0,0,0,0
CEIP REINA SOFÍA,Secundaria,696183,0,0,0,0,0,0,0,0,0
CEIP REINA SOFÍA,Profesorado,137392,6,3,3,0,0,0,0,0,0
 IES SENARA,Primaria,838298,0,0,0,0,0,0,0,0,0
 IES SENARA,Secundaria,141981,0,0,0,0,0,0,0,0,0
 IES SENARA,Profesorado,293197,0,0,0,0,0,0,0,0,0
CEIP MESTRE CABALLERO,Primaria,742618,80,74,6,0,0,0,0,0,0
CEIP MESTRE CABALLERO,Secundaria,215924,0,0,0,0,0,0,0,0,0
CEIP MESTRE CABALLERO,Profesorado,771947,2,2,0,0,0,0,0,0,0
CEIP SAN JOSÉ DE CALASANZ,Primaria,871719,97,82,15,0,0,0,0,0,0
CEIP SAN JOSÉ DE CALASANZ,Secundaria,966578,0,0,0,0,0,0,0,0,0
CEIP SAN JOSÉ DE CALASANZ,Profesorado,888216,9,4,5,0,0,0,0,0,0
 CDP SAN JUAN BAUTISTA,Primaria,615896,38,35,3,0,0,0,0,0,0
 CDP SAN JUAN BAUTISTA,Secundaria,637269,0,0,0,0,0,0,0,0,0
 CDP SAN JUAN BAUTISTA,Profesorado,328926,3,2,1,0,0,0,0,0,0
COLEGIO LA SALLE SAN JOSÉ,Primaria,786468,59,55,4,0,0,0,0,0,0
COLEGIO LA SALLE SAN JOSÉ,Secundaria,667449,190,154,36,0,0,0,0,0,0
COLEGIO LA SALLE SAN JOSÉ,Profesorado,422979,20,16,4,0,0,0,0,0,0
CPI ROSALES DEL CANAL DE ZARAGOZA,Primaria,324824,86,48,38,0,0,0,0,0,0
CPI ROSALES DEL CANAL DE ZARAGOZA,Secundaria,422834,402,166,236,0,0,0,0,0,0
CPI ROSALES DEL CANAL DE ZARAGOZA,Profesorado,831985,38,8,30,0,0,0,0,0,0
CEO VILLA DE AUTOL,Primaria,484341,78,65,13,0,0,0,0,0,1
CEO VILLA DE AUTOL,Secundaria,298536,190,150,40,0,0,0,0,0,0
CEO VILLA DE AUTOL,Profesorado,753944,24,17,7,0,0,0,0,0,0
COLEGIO LA MERCED FUENSANTA,Primaria,542548,301,236,65,0,0,0,0,0,0
COLEGIO LA MERCED FUENSANTA,Secundaria,717215,828,508,320,0,0,0,0,0,0
COLEGIO LA MERCED FUENSANTA,Profesorado,984229,53,28,25,0,0,0,0,0,0
COLEGIO JESÚS-MARÍA,Primaria,989561,0,0,0,0,0,0,0,0,0
COLEGIO JESÚS-MARÍA,Secundaria,498373,240,112,128,0,0,0,0,0,0
COLEGIO JESÚS-MARÍA,Profesorado,723966,32,20,12,0,0,0,0,0,0
CEIP LA ALMAZARA,Primaria,832218,153,124,29,0,0,0,0,0,0
CEIP LA ALMAZARA,Secundaria,273234,1,0,1,0,0,0,0,0,0
CEIP LA ALMAZARA,Profesorado,787665,3,1,2,0,0,0,0,0,0
CEIP FEDERICO GARCÍA LORCA ,Primaria,261125,65,63,2,0,0,0,0,0,0
CEIP FEDERICO GARCÍA LORCA ,Secundaria,613836,0,0,0,0,0,0,0,0,0
CEIP FEDERICO GARCÍA LORCA ,Profesorado,256281,18,13,5,0,0,0,0,0,0
IES LUIS DE CAMOENS,Primaria,628736,0,0,0,0,0,0,0,0,0
IES LUIS DE CAMOENS,Secundaria,766743,0,0,0,0,0,0,0,0,0
IES LUIS DE CAMOENS,Profesorado,475246,0,0,0,0,0,0,0,0,0
CEIP ALCALDE RAFAEL CEDRÉS,Primaria,264296,64,47,17,0,0,0,0,0,0
CEIP ALCALDE RAFAEL CEDRÉS,Secundaria,139989,0,0,0,0,0,0,0,0,0
CEIP ALCALDE RAFAEL CEDRÉS,Profesorado,816661,1,1,0,0,0,0,0,0,0
CEIP MIRAMONTES,Primaria,237242,231,113,118,0,0,0,0,0,0
CEIP MIRAMONTES,Secundaria,391625,0,0,0,0,0,0,0,0,0
CEIP MIRAMONTES,Profesorado,936781,10,5,5,0,0,0,0,0,0
CIFPPU CENTRO INTEGRADO DE FORMACIÓN PROFESIONAL POLITÉCNICO,Primaria,147513,0,0,0,0,0,0,0,0,0
CIFPPU CENTRO INTEGRADO DE FORMACIÓN PROFESIONAL POLITÉCNICO,Secundaria,345111,100,75,25,0,0,0,0,0,0
CIFPPU CENTRO INTEGRADO DE FORMACIÓN PROFESIONAL POLITÉCNICO,Profesorado,446718,23,11,12,0,0,0,0,0,0
COLEGIO SANTA MARÍA MICAELA,Primaria,696734,41,35,6,0,0,0,0,0,0
COLEGIO SANTA MARÍA MICAELA,Secundaria,872346,40,34,6,0,0,0,0,0,0
COLEGIO SANTA MARÍA MICAELA,Profesorado,684746,12,10,2,0,0,0,0,0,0
CEIP SANTA VICTORIA,Primaria,685858,10,8,2,0,0,0,0,0,0
CEIP SANTA VICTORIA,Secundaria,816883,0,0,0,0,0,0,0,0,0
CEIP SANTA VICTORIA,Profesorado,836394,5,4,1,0,0,0,0,0,0
CEIP LOS MILLARES,Primaria,886312,0,0,0,0,0,0,0,0,0
CEIP LOS MILLARES,Secundaria,149527,0,0,0,0,0,0,0,0,0
CEIP LOS MILLARES,Profesorado,683674,0,0,0,0,0,0,0,0,0
CIFP Nº1 CEUTA,Primaria,432886,0,0,0,0,0,0,0,0,0
CIFP Nº1 CEUTA,Secundaria,583275,164,123,41,0,0,0,0,0,0
CIFP Nº1 CEUTA,Profesorado,468575,45,24,21,0,0,0,0,0,0
COLEGIO LOS ABETOS,Primaria,438942,14,12,2,0,0,0,0,0,0
COLEGIO LOS ABETOS,Secundaria,179968,70,45,25,0,0,0,0,0,0
COLEGIO LOS ABETOS,Profesorado,729434,19,14,5,0,0,0,0,0,0
CEIP CONCEPCIÓN GIMENO GIL,Primaria,498355,138,134,4,0,0,0,0,0,0
CEIP CONCEPCIÓN GIMENO GIL,Secundaria,914845,0,0,0,0,0,0,0,0,0
CEIP CONCEPCIÓN GIMENO GIL,Profesorado,645123,7,5,2,0,0,0,0,0,0
CEIP AURELIO PRUDENCIO,Primaria,432117,143,110,33,0,0,0,0,0,0
CEIP AURELIO PRUDENCIO,Secundaria,947629,0,0,0,0,0,0,0,0,0
CEIP AURELIO PRUDENCIO,Profesorado,825243,1,0,1,0,0,0,0,0,0
IES SAN MATÍAS,Primaria,367799,0,0,0,0,0,0,0,0,0
IES SAN MATÍAS,Secundaria,234159,193,131,62,0,0,0,0,0,0
IES SAN MATÍAS,Profesorado,933224,35,26,9,0,0,0,0,0,0
COLEGIO LUYFE RIVAS,Primaria,582889,183,169,14,0,0,0,0,0,0
COLEGIO LUYFE RIVAS,Secundaria,179676,262,249,13,0,0,0,0,0,0
COLEGIO LUYFE RIVAS,Profesorado,114132,24,18,6,0,0,0,0,0,0
IES INGENIERO DE LA CIERVA,Primaria,574954,1,0,1,0,0,0,0,0,0
IES INGENIERO DE LA CIERVA,Secundaria,194967,294,230,64,0,0,0,0,0,0
IES INGENIERO DE LA CIERVA,Profesorado,296844,60,34,26,0,0,0,0,0,0
COLEGIO SANTA ROSA ,Primaria,638224,0,0,0,0,0,0,0,0,0
COLEGIO SANTA ROSA ,Secundaria,718193,206,163,43,0,0,0,0,0,0
COLEGIO SANTA ROSA ,Profesorado,925217,30,24,6,0,0,0,0,0,0
 IES JOSEFINA ALDECOA,Primaria,662239,0,0,0,0,0,0,0,0,0
 IES JOSEFINA ALDECOA,Secundaria,467545,250,218,32,0,0,0,0,0,1
 IES JOSEFINA ALDECOA,Profesorado,348398,1,1,0,0,0,0,0,0,0
CEIP GONZALO ENCABO,Primaria,835966,107,55,52,0,0,0,0,0,0
CEIP GONZALO ENCABO,Secundaria,943859,0,0,0,0,0,0,0,0,0
CEIP GONZALO ENCABO,Profesorado,961152,11,5,6,0,0,0,0,0,0
IES ENRIQUE NIETO,Primaria,692572,0,0,0,0,0,0,0,0,0
IES ENRIQUE NIETO,Secundaria,574453,735,541,194,0,0,0,0,0,0
IES ENRIQUE NIETO,Profesorado,991346,28,17,11,0,0,0,0,0,0
CPI CASTILLO QADRIT,Primaria,145964,59,35,24,0,0,0,0,0,0
CPI CASTILLO QADRIT,Secundaria,647534,85,65,20,0,0,0,0,0,0
CPI CASTILLO QADRIT,Profesorado,893828,8,6,2,0,0,0,0,0,0
CEIP LAS RETAMAS,Primaria,559942,43,40,3,0,0,0,0,0,0
CEIP LAS RETAMAS,Secundaria,588482,0,0,0,0,0,0,0,0,0
CEIP LAS RETAMAS,Profesorado,776171,0,0,0,0,0,0,0,0,0
IES ANDRÉS DE VANDELVIRA,Primaria,278893,0,0,0,0,0,0,0,0,0
IES ANDRÉS DE VANDELVIRA,Secundaria,453394,786,309,477,0,0,0,0,0,0
IES ANDRÉS DE VANDELVIRA,Profesorado,941982,50,27,23,0,0,0,0,0,0
CEIP ANDRÉS ARANGO,Primaria,936571,72,58,14,0,0,0,0,0,0
CEIP ANDRÉS ARANGO,Secundaria,128111,0,0,0,0,0,0,0,0,0
CEIP ANDRÉS ARANGO,Profesorado,315428,18,10,8,0,0,0,0,0,0
IES LEITZA AMAZABAL BHI,Primaria,174785,0,0,0,0,0,0,0,0,0
IES LEITZA AMAZABAL BHI,Secundaria,374741,21,12,9,0,0,0,0,0,0
IES LEITZA AMAZABAL BHI,Profesorado,844961,20,12,8,0,0,0,0,0,0
CEIP GINES MORATA ,Primaria,691715,124,52,72,0,0,0,0,0,0
CEIP GINES MORATA ,Secundaria,377526,0,0,0,0,0,0,0,0,0
CEIP GINES MORATA ,Profesorado,316657,10,9,1,0,0,0,0,0,0
IES JOSÉ PEDRO PÉREZ LLORCA,Primaria,399114,0,0,0,0,0,0,0,0,0
IES JOSÉ PEDRO PÉREZ LLORCA,Secundaria,118674,222,156,66,0,0,0,0,0,0
IES JOSÉ PEDRO PÉREZ LLORCA,Profesorado,565378,10,4,6,0,0,0,0,0,0
COLEGIO MARISTAS SANTA MARÍA ,Primaria,265479,208,143,65,0,0,0,0,0,1
COLEGIO MARISTAS SANTA MARÍA ,Secundaria,322659,389,284,105,0,0,0,0,0,0
COLEGIO MARISTAS SANTA MARÍA ,Profesorado,822875,15,11,4,0,0,0,0,0,0
CEIP PINOCHO ,Primaria,897941,111,84,27,0,0,0,0,0,0
CEIP PINOCHO ,Secundaria,934565,0,0,0,0,0,0,0,0,0
CEIP PINOCHO ,Profesorado,217176,18,7,11,0,0,0,0,0,0
CIFP COMUNICACIÓN IMAGEN Y SONIDO,Primaria,649358,0,0,0,0,0,0,0,0,0
CIFP COMUNICACIÓN IMAGEN Y SONIDO,Secundaria,437176,25,24,1,0,0,0,0,0,0
CIFP COMUNICACIÓN IMAGEN Y SONIDO,Profesorado,359151,0,0,0,0,0,0,0,0,0
CEIP MIGUEL SERVET,Primaria,441283,87,78,9,0,0,0,0,0,0
CEIP MIGUEL SERVET,Secundaria,135884,0,0,0,0,0,0,0,0,0
CEIP MIGUEL SERVET,Profesorado,158253,1,0,1,0,0,0,0,0,0
IES VICENTE MEDINA,Primaria,542555,0,0,0,0,0,0,0,0,0
IES VICENTE MEDINA,Secundaria,618915,0,0,0,0,0,0,0,0,0
IES VICENTE MEDINA,Profesorado,997696,0,0,0,0,0,0,0,0,0
COLEGIO ALAMEDA,Primaria,254634,133,116,17,0,0,0,0,0,0
COLEGIO ALAMEDA,Secundaria,668661,381,282,99,0,0,0,0,0,0
COLEGIO ALAMEDA,Profesorado,636579,44,21,23,0,0,0,0,0,0
CEIP CRISTÓBAL COLÓN,Primaria,128598,124,122,2,0,0,0,0,0,0
CEIP CRISTÓBAL COLÓN,Secundaria,953316,1,0,1,0,0,0,0,0,0
CEIP CRISTÓBAL COLÓN,Profesorado,556319,0,0,0,0,0,0,0,0,0
IES ALDEBARÁN,Primaria,965296,1,0,1,0,0,0,0,0,0
IES ALDEBARÁN,Secundaria,431992,141,107,34,0,0,0,0,0,0
IES ALDEBARÁN,Profesorado,247937,58,24,34,0,0,0,0,0,0
CPEIPS IRUNGO LA SALLE HLBHIP,Primaria,342995,141,98,43,0,0,0,0,0,0
CPEIPS IRUNGO LA SALLE HLBHIP,Secundaria,524719,879,389,490,0,0,0,0,0,0
CPEIPS IRUNGO LA SALLE HLBHIP,Profesorado,596771,32,15,17,0,0,0,0,0,0
CPIFP Somorrostro LHIPI,Primaria,496382,0,0,0,0,0,0,0,0,0
CPIFP Somorrostro LHIPI,Secundaria,225273,753,481,272,0,0,0,0,0,0
CPIFP Somorrostro LHIPI,Profesorado,953219,23,15,8,0,0,0,0,0,0
CIFP NAÚTICO PESQUERA DE BERMEO,Primaria,776777,0,0,0,0,0,0,0,0,0
CIFP NAÚTICO PESQUERA DE BERMEO,Secundaria,861441,36,22,14,0,0,0,0,0,0
CIFP NAÚTICO PESQUERA DE BERMEO,Profesorado,174235,11,11,0,0,0,0,0,0,0
CPIFP MARISTAK DURANGO LHIPI,Primaria,614128,0,0,0,0,0,0,0,0,0
CPIFP MARISTAK DURANGO LHIPI,Secundaria,368886,120,109,11,0,0,0,0,0,0
